ClassA	ClassB	PathID	PathName	Size
Human Diseases	Infectious diseases	5134	Legionellosis	68
Human Diseases	Infectious diseases	5150	Staphylococcus aureus infection	66
Human Diseases	Infectious diseases	5152	Tuberculosis	131
Human Diseases	Infectious diseases	5100	Bacterial invasion of epithelial cells	73
Human Diseases	Infectious diseases	5166	HTLV-I infection	206
Human Diseases	Infectious diseases	5162	Measles	109
Human Diseases	Infectious diseases	5164	Influenza A	124
Human Diseases	Infectious diseases	5161	Hepatitis B	113
Human Diseases	Infectious diseases	5160	Hepatitis C	79
Human Diseases	Infectious diseases	5168	Herpes simplex infection	145
Human Diseases	Infectious diseases	5169	Epstein-Barr virus infection	164
Human Diseases	Infectious diseases	5146	Amoebiasis	81
Human Diseases	Infectious diseases	5144	Malaria	66
Human Diseases	Infectious diseases	5145	Toxoplasmosis	94
Human Diseases	Infectious diseases	5140	Leishmaniasis	57
Human Diseases	Infectious diseases	5142	Chagas disease (American trypanosomiasis)	82
Human Diseases	Drug resistance	5143	African trypanosomiasis	37
Human Diseases	Drug resistance	1501	beta-Lactam resistance	104
Human Diseases	Drug resistance	1502	Vancomycin resistance	21
Human Diseases	Drug resistance	1503	Cationic antimicrobial peptide (CAMP) resistance	54
Human Diseases	Drug resistance	1521	EGFR tyrosine kinase inhibitor resistance	67
Human Diseases	Drug resistance	1522	Endocrine resistance	76
Human Diseases	Drug resistance	1524	Platinum drug resistance	45
